Empresa,2016,2017,2018,2019,2020,2021,2022,Media
AMBEV S/A,3.9,2.54,3.58,2.63,2.64,4.41,5.25,3.56
B3,3.05,1.99,2.6,1.89,3.14,10.0,3.57,3.75
BBSEGURIDADE,5.89,5.75,11.22,4.19,9.39,4.8,5.82,6.72
BRADESCO,4.56,3.66,2.96,5.54,2.56,5.3,2.76,3.9
BRASIL,3.25,2.97,3.26,4.83,3.81,7.85,11.99,5.42
BTGP BANCO,0.0,0.0,5.77,1.85,2.74,1.93,,
ELETROBRAS,0.0,0.0,0.0,2.19,4.42,7.14,1.75,2.21
EQUATORIAL,1.71,0.88,1.62,0.83,2.37,1.71,,
GERDAU,4.6,4.0,2.56,1.4,12.36,4.25,,
ITAUSA,6.99,4.39,7.36,8.45,6.84,6.25,,
ITAUUNIBANCO,4.72,3.52,6.0,7.56,4.12,4.33,4.08,4.9
JBS,3.56,3.4,4.0,1.0,2.28,7.95,9.1,3.38
LOCALIZA,2.61,1.12,9.1,0.83,2.48,1.33,,
PETROBRAS,0.0,0.0,3.97,3.11,0.0,19.87,68.32,13.61
PETROBRAS,0.0,0.0,9.8,1.56,0.83,18.41,59.7,11.64
PETRORIO,0.0,0.0,0.0,0.0,0.0,0.0,,
RAIADROGASIL,0.97,6.7,1.11,0.57,1.07,0.83,,
REDE D OR,0.0,0.0,0.0,0.0,1.37,0.66,,
RUMO S.A.,0.0,0.0,0.0,0.0,0.1,0.01,,
SABESP,0.76,3.51,3.27,1.91,3.1,0.99,1.65,2.17
SUZANO S.A.,0.0,0.0,0.5,1.12,6.49,1.16,,
ULTRAPAR,2.34,2.29,2.74,2.16,1.01,4.4,4.62,2.8
VALE,0.65,3.29,3.86,2.65,2.75,18.77,8.53,5.79
VIBRA,0.0,0.0,5.54,8.73,4.2,9.46,5.51,4.78
WEG,2.43,1.48,1.8,0.98,1.34,1.41,,
