Company,Year,Price_Begin,Price_End,Capital_Gain_%,DY_%,Total Shareholder Gain %%,Div_payout %,,Year,IPCA%,REAL/USD,SELIC
AMBEV,2016,17.7299995422363,16.3999996185303,-7.50140980284706,3.9,21.6299995422363,80.4,,2016,6.29,3.489099,13.75
AMBEV,2017,16.3400001525879,21.2800006866455,30.2325611256205,2.54,18.8800001525879,117.09,,2017,2.95,3.192997,7
AMBEV,2018,21.3299999237061,15.3800001144409,-27.8949827967526,3.58,24.9099999237061,78.84,,2018,3.75,3.654218,6.5
AMBEV,2019,15.3999996185303,18.6700000762939,21.2337697322343,2.63,18.0299996185303,65.64,,2019,4.31,3.945737,4.5
AMBEV,2020,18.8600006103516,15.6499996185303,-17.0201531704057,2.64,21.5000006103516,57.3,,2020,4.52,5.150985,2
AMBEV,2021,15.789999961853,15.4200000762939,-2.34325450571857,4.41,20.199999961853,84.62,,2021,10.06,5.395286,9.25
AMBEV,2022,15.4200000762939,14.5200004577637,-5.83657337274528,5.25,20.6700000762939,83.1,,2022,5.79,5.164672,13.75
AMBEV,2023,14.3999996185303,13.7299995422363,-4.65277843085338,5.32,19.7199996185303,79.36,,2023,4.62,4.994057,11.75
AMBEV,2024,13.7200002670288,11.7399997711182,-14.4314902140992,5.69,19.4100002670288,26.73,,2024,4.62,5.39234,12.25
B3,2016,3.57666611671448,5.5,53.7744877638256,3.05,6.62666611671448,36.14,,,,,
B3,2017,5.42000007629395,7.59333276748657,40.0983885719554,1.99,7.41000007629395,53.8,,,,,
B3,2018,7.63000011444092,8.93666553497315,17.1253656740996,2.6,10.2300001144409,63.63,,,,,
B3,2019,8.94999980926514,14.3233327865601,60.0372412492388,1.89,10.8399998092651,44.86,,,,,
B3,2020,14.3933334350586,20.6599998474121,43.5386732380525,3.14,17.5333334350586,81.42,,,,,
B3,2021,20.7133331298828,11.1400003433228,-46.2182147437621,9.13,29.8433331298828,128.75,,,,,
B3,2022,11.1899995803833,13.210000038147,18.0518367606094,3.57,14.7599995803833,58.46,,,,,
B3,2023,12.789999961853,14.5500001907349,13.7607524169753,2.87,15.659999961853,48.63,,,,,
B3,2024,14.3100004196167,10.3199996948242,-27.8826038280393,3.55,17.8600004196167,46.2,,,,,
BANCO DO BRASIL,2016,7.21999979019165,14.0450000762939,94.5290925821638,5.89,13.1099997901917,84.99,,,,,
BANCO DO BRASIL,2017,13.9499998092651,15.9099998474121,14.0501796770291,5.75,19.6999998092651,81.23,,,,,
BANCO DO BRASIL,2018,16.0450000762939,23.2450008392334,44.8737970003332,11.22,27.2650000762939,99.39,,,,,
BANCO DO BRASIL,2019,23.1000003814697,26.4099998474121,14.3290017804397,4.19,27.2900003814697,88.3,,,,,
BANCO DO BRASIL,2020,26.6749992370605,19.3999996185303,-27.2727266226979,9.39,36.0649992370606,144.72,,,,,
BANCO DO BRASIL,2021,19.6149997711182,14.4250001907349,-26.459340509528,4.8,24.4149997711182,50.7,,,,,
BANCO DO BRASIL,2022,14.5649995803833,17.3649997711182,19.224169388278,5.82,20.3849995803833,65.05,,,,,
BANCO DO BRASIL,2023,17.1100006103516,27.6949996948242,61.8643992219891,10.25,27.3600006103516,87.73,,,,,
BANCO DO BRASIL,2024,27.5599994659424,24.1700000762939,-12.3004334373724,7.28,34.8399994659424,60.95,,,,,
